Field,Date,currency_momentum
AbsExposure,2021-01-04,1.0
AbsExposure,2021-01-05,1.0
AbsExposure,2021-01-06,1.0
AbsExposure,2021-01-07,1.0
AbsExposure,2021-01-08,1.0
AbsExposure,2021-01-11,1.0
AbsExposure,2021-01-12,1.0
AbsExposure,2021-01-13,1.0
AbsExposure,2021-01-14,1.0
AbsExposure,2021-01-15,1.0
AbsExposure,2021-01-18,1.0
AbsExposure,2021-01-19,1.0
AbsExposure,2021-01-20,1.0
AbsExposure,2021-01-21,1.0
AbsExposure,2021-01-22,1.0
AbsExposure,2021-01-25,1.0
AbsExposure,2021-01-26,1.0
AbsExposure,2021-01-27,1.0
AbsExposure,2021-01-28,1.0
AbsExposure,2021-01-29,1.0
AbsExposure,2021-02-01,1.0
AbsExposure,2021-02-02,1.0
AbsExposure,2021-02-03,1.0
AbsExposure,2021-02-04,1.0
AbsExposure,2021-02-05,1.0
AbsExposure,2021-02-08,1.0
AbsExposure,2021-02-09,1.0
AbsExposure,2021-02-10,1.0
AbsExposure,2021-02-11,1.0
AbsExposure,2021-02-12,1.0
AbsExposure,2021-02-15,1.0
AbsExposure,2021-02-16,1.0
AbsExposure,2021-02-17,1.0
AbsExposure,2021-02-18,1.0
AbsExposure,2021-02-19,1.0
AbsExposure,2021-02-22,1.0
AbsExposure,2021-02-23,1.0
AbsExposure,2021-02-24,1.0
AbsExposure,2021-02-25,1.0
AbsExposure,2021-02-26,1.0
AbsExposure,2021-03-01,1.0
AbsExposure,2021-03-02,1.0
AbsExposure,2021-03-03,1.0
AbsExposure,2021-03-04,1.0
AbsExposure,2021-03-05,1.0
AbsExposure,2021-03-08,1.0
AbsExposure,2021-03-09,1.0
AbsExposure,2021-03-10,1.0
AbsExposure,2021-03-11,1.0
AbsExposure,2021-03-12,1.0
AbsExposure,2021-03-15,1.0
AbsExposure,2021-03-16,1.0
AbsExposure,2021-03-17,1.0
AbsExposure,2021-03-18,1.0
AbsExposure,2021-03-19,1.0
AbsExposure,2021-03-22,1.0
AbsExposure,2021-03-23,1.0
AbsExposure,2021-03-24,1.0
AbsExposure,2021-03-25,1.0
AbsExposure,2021-03-26,1.0
AbsExposure,2021-03-29,1.0
AbsExposure,2021-03-30,1.0
AbsExposure,2021-03-31,1.0
AbsExposure,2021-04-01,1.0
AbsExposure,2021-04-02,1.0
AbsExposure,2021-04-05,1.0
AbsExposure,2021-04-06,1.0
AbsExposure,2021-04-07,1.0
AbsExposure,2021-04-08,1.0
AbsExposure,2021-04-09,1.0
AbsExposure,2021-04-12,1.0
AbsExposure,2021-04-13,1.0
AbsExposure,2021-04-14,1.0
AbsExposure,2021-04-15,1.0
AbsExposure,2021-04-16,1.0
AbsExposure,2021-04-19,1.0
AbsExposure,2021-04-20,1.0
