Field,Date,moonshot_trading_currency_flow
AbsExposure,2016-01-04,1.0
AbsExposure,2016-01-05,0.0
AbsExposure,2016-01-06,0.0
AbsExposure,2016-01-07,0.0
AbsExposure,2016-01-08,0.0
AbsExposure,2016-01-11,0.0
AbsExposure,2016-01-12,0.0
AbsExposure,2016-01-13,0.0
AbsExposure,2016-01-14,0.0
AbsExposure,2016-01-15,0.0
AbsExposure,2016-01-18,0.0
AbsExposure,2016-01-19,0.0
AbsExposure,2016-01-20,0.0
AbsExposure,2016-01-21,0.0
AbsExposure,2016-01-22,0.0
AbsExposure,2016-01-25,0.0
AbsExposure,2016-01-26,0.0
AbsExposure,2016-01-27,0.0
AbsExposure,2016-01-28,0.0
AbsExposure,2016-01-29,0.0
AbsExposure,2016-02-01,0.0
AbsExposure,2016-02-02,0.0
AbsExposure,2016-02-03,0.0
AbsExposure,2016-02-04,0.0
AbsExposure,2016-02-05,0.0
AbsExposure,2016-02-08,0.0
AbsExposure,2016-02-09,0.0
AbsExposure,2016-02-10,0.0
AbsExposure,2016-02-11,0.0
AbsExposure,2016-02-12,0.0
AbsExposure,2016-02-15,0.0
AbsExposure,2016-02-16,0.0
AbsExposure,2016-02-17,0.0
AbsExposure,2016-02-18,0.0
AbsExposure,2016-02-19,0.0
AbsExposure,2016-02-22,0.0
AbsExposure,2016-02-23,0.0
AbsExposure,2016-02-24,0.0
AbsExposure,2016-02-25,0.0
AbsExposure,2016-02-26,0.0
AbsExposure,2016-02-29,0.0
AbsExposure,2016-03-01,0.0
AbsExposure,2016-03-02,0.0
AbsExposure,2016-03-03,0.0
AbsExposure,2016-03-04,0.0
AbsExposure,2016-03-07,0.0
AbsExposure,2016-03-08,1.0
AbsExposure,2016-03-09,1.0
AbsExposure,2016-03-10,1.0
AbsExposure,2016-03-11,1.0
AbsExposure,2016-03-14,1.0
AbsExposure,2016-03-15,0.0
AbsExposure,2016-03-16,0.0
AbsExposure,2016-03-17,0.0
AbsExposure,2016-03-18,0.0
AbsExposure,2016-03-21,0.0
AbsExposure,2016-03-22,0.0
AbsExposure,2016-03-23,0.0
AbsExposure,2016-03-24,0.0
AbsExposure,2016-03-25,0.0
AbsExposure,2016-03-28,0.0
AbsExposure,2016-03-29,1.0
AbsExposure,2016-03-30,1.0
AbsExposure,2016-03-31,1.0
AbsExposure,2016-04-01,1.0
AbsExposure,2016-04-04,1.0
AbsExposure,2016-04-05,1.0
AbsExposure,2016-04-06,1.0
AbsExposure,2016-04-07,1.0
AbsExposure,2016-04-08,1.0
AbsExposure,2016-04-11,1.0
AbsExposure,2016-04-12,1.0
AbsExposure,2016-04-13,1.0
AbsExposure,2016-04-14,1.0
AbsExposure,2016-04-15,1.0
AbsExposure,2016-04-18,1.0
AbsExposure,2016-04-19,0.0
AbsExposure,2016-04-20,0.0
AbsExposure,2016-04-21,0.0
AbsExposure,2016-04-22,0.0
AbsExposure,2016-04-25,0.0
AbsExposure,2016-04-26,1.0
AbsExposure,2016-04-27,1.0
AbsExposure,2016-04-28,1.0
AbsExposure,2016-04-29,1.0
AbsExposure,2016-05-02,1.0
AbsExposure,2016-05-03,0.0
AbsExposure,2016-05-04,0.0
AbsExposure,2016-05-05,0.0
AbsExposure,2016-05-06,0.0
AbsExposure,2016-05-09,0.0
AbsExposure,2016-05-10,0.0
AbsExposure,2016-05-11,0.0
AbsExposure,2016-05-12,0.0
AbsExposure,2016-05-13,0.0
AbsExposure,2016-05-16,0.0
AbsExposure,2016-05-17,0.0
AbsExposure,2016-05-18,0.0
AbsExposure,2016-05-19,0.0
AbsExposure,2016-05-20,0.0
AbsExposure,2016-05-23,0.0
AbsExposure,2016-05-24,1.0
AbsExposure,2016-05-25,1.0
AbsExposure,2016-05-26,1.0
AbsExposure,2016-05-27,1.0
AbsExposure,2016-05-30,1.0
AbsExposure,2016-05-31,0.0
AbsExposure,2016-06-01,0.0
AbsExposure,2016-06-02,0.0
AbsExposure,2016-06-03,0.0
AbsExposure,2016-06-06,0.0
AbsExposure,2016-06-07,0.0
AbsExposure,2016-06-08,0.0
AbsExposure,2016-06-09,0.0
AbsExposure,2016-06-10,0.0
AbsExposure,2016-06-13,0.0
AbsExposure,2016-06-14,1.0
AbsExposure,2016-06-15,1.0
AbsExposure,2016-06-16,1.0
AbsExposure,2016-06-17,1.0
AbsExposure,2016-06-20,1.0
AbsExposure,2016-06-21,1.0
AbsExposure,2016-06-22,1.0
AbsExposure,2016-06-23,1.0
AbsExposure,2016-06-24,1.0
AbsExposure,2016-06-27,1.0
AbsExposure,2016-06-28,1.0
AbsExposure,2016-06-29,1.0
AbsExposure,2016-06-30,1.0
AbsExposure,2016-07-01,1.0
AbsExposure,2016-07-04,1.0
AbsExposure,2016-07-05,0.0
AbsExposure,2016-07-06,0.0
AbsExposure,2016-07-07,0.0
AbsExposure,2016-07-08,0.0
AbsExposure,2016-07-11,0.0
AbsExposure,2016-07-12,0.0
AbsExposure,2016-07-13,0.0
AbsExposure,2016-07-14,0.0
AbsExposure,2016-07-15,0.0
AbsExposure,2016-07-18,0.0
AbsExposure,2016-07-19,1.0
AbsExposure,2016-07-20,1.0
AbsExposure,2016-07-21,1.0
AbsExposure,2016-07-22,1.0
AbsExposure,2016-07-25,1.0
AbsExposure,2016-07-26,1.0
AbsExposure,2016-07-27,1.0
AbsExposure,2016-07-28,1.0
AbsExposure,2016-07-29,1.0
AbsExposure,2016-08-01,1.0
AbsExposure,2016-08-02,1.0
AbsExposure,2016-08-03,1.0
AbsExposure,2016-08-04,1.0
AbsExposure,2016-08-05,1.0
AbsExposure,2016-08-08,1.0
AbsExposure,2016-08-09,1.0
AbsExposure,2016-08-10,1.0
AbsExposure,2016-08-11,1.0
AbsExposure,2016-08-12,1.0
AbsExposure,2016-08-15,1.0
AbsExposure,2016-08-16,0.0
AbsExposure,2016-08-17,0.0
AbsExposure,2016-08-18,0.0
AbsExposure,2016-08-19,0.0
AbsExposure,2016-08-22,0.0
AbsExposure,2016-08-23,0.0
AbsExposure,2016-08-24,0.0
AbsExposure,2016-08-25,0.0
AbsExposure,2016-08-26,0.0
AbsExposure,2016-08-29,0.0
AbsExposure,2016-08-30,1.0
AbsExposure,2016-08-31,1.0
AbsExposure,2016-09-01,1.0
AbsExposure,2016-09-02,1.0
AbsExposure,2016-09-05,1.0
AbsExposure,2016-09-06,1.0
AbsExposure,2016-09-07,1.0
AbsExposure,2016-09-08,1.0
AbsExposure,2016-09-09,1.0
AbsExposure,2016-09-12,1.0
AbsExposure,2016-09-13,1.0
AbsExposure,2016-09-14,1.0
AbsExposure,2016-09-15,1.0
AbsExposure,2016-09-16,1.0
AbsExposure,2016-09-19,1.0
AbsExposure,2016-09-20,0.0
AbsExposure,2016-09-21,0.0
AbsExposure,2016-09-22,0.0
AbsExposure,2016-09-23,0.0
AbsExposure,2016-09-26,0.0
AbsExposure,2016-09-27,0.0
AbsExposure,2016-09-28,0.0
AbsExposure,2016-09-29,0.0
AbsExposure,2016-09-30,0.0
AbsExposure,2016-10-03,0.0
AbsExposure,2016-10-04,0.0
AbsExposure,2016-10-05,0.0
AbsExposure,2016-10-06,0.0
AbsExposure,2016-10-07,0.0
AbsExposure,2016-10-10,0.0
AbsExposure,2016-10-11,0.0
AbsExposure,2016-10-12,0.0
AbsExposure,2016-10-13,0.0
AbsExposure,2016-10-14,0.0
AbsExposure,2016-10-17,0.0
